Player,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,ID,Pos,2PA,2PM,2P_pc
Ja Morant,6.7,14.0,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,0.9,0.3,3.3,moranja01,PG,11.3,5.8,0.5132743362831858
Andre Drummond,7.3,13.8,53.3,0.1,0.6,14.3,3.0,5.2,57.5,4.4,10.8,15.2,2.7,1.9,1.6,3.6,drumman01,C,13.200000000000001,7.2,0.5454545454545454
Fred VanVleet,5.9,14.3,41.3,2.7,6.9,39.0,3.1,3.7,84.8,0.3,3.4,3.8,6.6,1.9,0.3,2.2,vanvlfr01,SG,7.4,3.2,0.43243243243243246
Kevin Love,5.8,13.0,45.0,2.6,7.0,37.4,3.3,3.9,85.4,1.0,8.8,9.8,3.2,0.6,0.3,2.5,loveke01,PF,6.0,3.1999999999999997,0.5333333333333333
Chris Paul,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4.0,90.7,0.4,4.6,5.0,6.7,1.6,0.2,2.3,paulch01,PG,8.399999999999999,4.6,0.5476190476190477
Gordon Hayward,6.7,13.5,50.0,1.6,4.3,38.3,2.4,2.8,85.5,1.1,5.6,6.7,4.1,0.7,0.4,1.8,haywago01,SF,9.2,5.1,0.5543478260869565
Jaren Jackson Jr.,6.2,13.2,46.9,2.5,6.5,39.4,2.4,3.3,74.7,1.0,3.6,4.6,1.4,0.7,1.6,1.7,jacksja02,PF,6.699999999999999,3.7,0.5522388059701493
Marcus Morris Sr.,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1.0,4.1,5.0,1.4,0.8,0.5,1.6,morrima03,SF-PF,7.5,3.4000000000000004,0.45333333333333337
Malcolm Brogdon,6.0,13.8,43.8,1.4,4.3,32.6,3.1,3.4,89.2,0.9,4.0,4.9,7.1,0.6,0.2,2.4,brogdma01,SG,9.5,4.6,0.4842105263157894
Ben Simmons,6.6,11.4,58.0,0.0,0.1,28.6,3.2,5.2,62.1,2.0,5.8,7.8,8.0,2.1,0.6,3.5,simmobe01,PG,11.3,6.6,0.5840707964601769
Dillon Brooks,6.0,14.6,40.7,2.0,5.6,35.8,2.2,2.8,80.8,0.9,2.4,3.3,2.1,0.9,0.4,1.7,brookdi01,SG,9.0,4.0,0.4444444444444444
Goran Dragic,5.4,12.3,44.1,2.1,5.7,36.7,3.2,4.2,77.6,0.5,2.7,3.2,5.1,0.7,0.2,2.4,dragigo01,PG,6.6000000000000005,3.3000000000000003,0.5
Norman Powell,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,0.5,3.2,3.7,1.8,1.2,0.4,1.5,powelno01,SG,6.2,3.6,0.5806451612903226
Bam Adebayo,6.1,11.0,55.7,0.0,0.2,14.3,3.7,5.3,69.1,2.4,7.8,10.2,5.1,1.1,1.3,2.8,adebaba01,PF,10.8,6.1,0.5648148148148148
Tim Hardaway Jr.,5.4,12.5,43.4,2.9,7.2,39.8,2.1,2.6,81.9,0.4,2.9,3.3,1.9,0.6,0.1,1.0,hardati02,SG,5.3,2.5000000000000004,0.4716981132075473
Hassan Whiteside,6.5,10.5,62.1,0.1,0.1,57.1,2.4,3.6,68.6,3.9,9.7,13.5,1.2,0.4,2.9,1.8,whiteha01,C,10.4,6.4,0.6153846153846154
Davis Bertans,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,0.6,3.9,4.5,1.7,0.7,0.6,1.1,bertada01,PF,2.6000000000000014,1.2000000000000002,0.46153846153846134
Carmelo Anthony,5.8,13.5,43.0,1.5,3.9,38.5,2.3,2.8,84.5,1.2,5.1,6.3,1.5,0.8,0.5,1.7,anthoca01,SF,9.6,4.3,0.4479166666666667
Serge Ibaka,6.2,12.2,51.2,1.3,3.3,38.5,1.6,2.3,71.8,2.1,6.1,8.2,1.4,0.5,0.8,2.0,ibakase01,PF,8.899999999999999,4.9,0.5505617977528091
Kendrick Nunn,6.0,13.6,43.9,2.0,5.8,35.0,1.3,1.5,85.0,0.3,2.4,2.7,3.3,0.8,0.2,1.7,nunnke01,PG,7.8,4.0,0.5128205128205129
JJ Redick,4.8,10.5,45.3,3.0,6.6,45.3,2.8,3.1,89.2,0.2,2.4,2.5,2.0,0.3,0.2,1.3,redicjj01,SG,3.9000000000000004,1.7999999999999998,0.46153846153846145
Jordan Clarkson,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,0.6,0.2,1.4,clarkjo01,SG,6.3999999999999995,3.4,0.53125
Bogdan Bogdanovic,5.5,12.6,44.0,2.7,7.2,37.2,1.4,1.9,74.1,0.4,3.0,3.4,3.4,1.0,0.2,1.7,bogdabo01,SG,5.3999999999999995,2.8,0.5185185185185185
Rudy Gobert,5.7,8.2,69.3,0.0,0.0,0.0,3.7,5.9,63.0,3.4,10.1,13.5,1.5,0.8,2.0,1.9,goberru01,C,8.2,5.7,0.6951219512195123
Will Barton,5.7,12.7,45.0,1.9,5.0,37.5,1.8,2.3,76.7,1.3,5.0,6.3,3.7,1.1,0.5,1.5,bartowi01,SG,7.699999999999999,3.8000000000000003,0.49350649350649356
