Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
Tim Hardaway Jr.,5.40,12.50,43.40,2.90,7.20,39.80,2.10,2.60,81.90,0.40,2.90,3.30,1.90,0.60,0.10,1.00
Hassan Whiteside,6.50,10.50,62.10,0.10,0.10,57.10,2.40,3.60,68.60,3.90,9.70,13.50,1.20,0.40,2.90,1.80
Davis Bertans,4.90,11.30,43.40,3.70,8.70,42.40,1.90,2.30,85.20,0.60,3.90,4.50,1.70,0.70,0.60,1.10
Carmelo Anthony,5.80,13.50,43.00,1.50,3.90,38.50,2.30,2.80,84.50,1.20,5.10,6.30,1.50,0.80,0.50,1.70
Serge Ibaka,6.20,12.20,51.20,1.30,3.30,38.50,1.60,2.30,71.80,2.10,6.10,8.20,1.40,0.50,0.80,2.00
Kendrick Nunn,6.00,13.60,43.90,2.00,5.80,35.00,1.30,1.50,85.00,0.30,2.40,2.70,3.30,0.80,0.20,1.70
JJ Redick,4.80,10.50,45.30,3.00,6.60,45.30,2.80,3.10,89.20,0.20,2.40,2.50,2.00,0.30,0.20,1.30
Jordan Clarkson,5.50,12.20,45.40,2.10,5.80,36.80,1.90,2.30,83.60,0.70,1.90,2.60,1.90,0.60,0.20,1.40
Bogdan Bogdanovic,5.50,12.60,44.00,2.70,7.20,37.20,1.40,1.90,74.10,0.40,3.00,3.40,3.40,1.00,0.20,1.70
Rudy Gobert,5.70,8.20,69.30,0.00,0.00,0.00,3.70,5.90,63.00,3.40,10.10,13.50,1.50,0.80,2.00,1.90
Will Barton,5.70,12.70,45.00,1.90,5.00,37.50,1.80,2.30,76.70,1.30,5.00,6.30,3.70,1.10,0.50,1.50
Alec Burks,4.90,11.60,41.80,1.80,4.60,38.50,3.60,4.00,88.70,0.70,3.50,4.30,2.90,0.90,0.30,1.40
Eric Bledsoe,5.50,11.50,47.50,1.20,3.50,34.40,2.80,3.50,79.00,0.70,3.90,4.60,5.40,0.90,0.40,2.40
Jonas Valanciunas,6.20,10.60,58.50,0.50,1.30,35.20,2.10,2.90,74.00,3.00,8.20,11.30,1.90,0.40,1.10,1.80
Lauri Markkanen,5.00,11.80,42.50,2.20,6.30,34.40,2.50,3.10,82.40,1.20,5.10,6.30,1.50,0.80,0.50,1.60
Terrence Ross,4.90,12.30,40.30,2.60,7.30,35.10,2.30,2.70,85.30,0.20,3.00,3.20,1.20,1.10,0.30,1.00
Harrison Barnes,5.10,11.00,46.00,1.40,3.70,38.10,3.00,3.70,80.10,1.10,3.90,4.90,2.20,0.60,0.20,1.20
Joe Harris,5.50,11.40,48.60,2.50,5.90,42.40,0.90,1.30,71.90,0.90,3.40,4.30,2.10,0.60,0.20,1.50
Aaron Gordon,5.40,12.40,43.70,1.20,3.80,30.80,2.40,3.60,67.40,1.70,5.90,7.70,3.70,0.80,0.60,1.60
RJ Barrett,5.20,13.00,40.20,1.10,3.50,32.00,2.80,4.50,61.40,0.90,4.10,5.00,2.60,1.00,0.30,2.20
Eric Paschall,5.30,10.70,49.70,0.60,2.20,28.70,2.70,3.50,77.40,1.40,3.20,4.60,2.10,0.50,0.20,1.60
Josh Richardson,5.10,11.70,43.00,1.50,4.50,34.10,2.10,2.60,80.90,0.70,2.40,3.20,2.90,0.90,0.70,1.90
