ID,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,2PA,2PM,2P_pc
smithis01,0.346938775510204,0.36318407960199006,0.2787286063569684,0.20454545454545453,0.20161290322580644,0.36700000000000005,0.06060606060606062,0.07894736842105263,0.4814126394052044,0.06976744186046512,0.1809523809523809,0.14893617021276595,0.4591836734693879,0.4,0.13793103448275865,0.2608695652173913,0.3812154696132597,0.35483870967741943,0.3090835196098358
teaguje01,0.2551020408163265,0.27363184079602,0.25183374083129595,0.1590909090909091,0.16129032258064516,0.368,0.26262626262626265,0.25438596491228066,0.7639405204460966,0.09302325581395347,0.0952380952380952,0.09219858156028367,0.4897959183673471,0.3,0.10344827586206896,0.391304347826087,0.30939226519337015,0.27956989247311836,0.27486670343813224
adamsst01,0.346938775510204,0.23880597014925373,0.6332518337408314,0.0,0.0,0.33299999999999996,0.16161616161616163,0.24561403508771928,0.2230483271375464,0.7441860465116277,0.48571428571428565,0.5815602836879433,0.19387755102040816,0.35000000000000003,0.37931034482758624,0.2826086956521739,0.3812154696132597,0.45161290322580655,0.6122231253810204
gayru01,0.2959183673469387,0.3034825870646767,0.2762836185819072,0.25,0.2661290322580645,0.336,0.15151515151515155,0.14035087719298245,0.7806691449814126,0.18604651162790697,0.34285714285714286,0.30496453900709225,0.1326530612244898,0.2,0.1724137931034483,0.23913043478260873,0.270718232044199,0.27956989247311836,0.4221594043022616
saricda01,0.28571428571428564,0.26865671641791045,0.34963325183374094,0.29545454545454547,0.2903225806451613,0.35700000000000004,0.13131313131313135,0.13157894736842105,0.7100371747211897,0.3255813953488372,0.35238095238095235,0.3617021276595745,0.15306122448979592,0.25,0.06896551724137932,0.23913043478260873,0.21546961325966849,0.24731182795698928,0.5433943260030216
anunoog01,0.30612244897959173,0.26865671641791045,0.4205378973105135,0.29545454545454547,0.2661290322580645,0.39,0.07070707070707072,0.09649122807017543,0.45353159851301095,0.25581395348837205,0.3047619047619047,0.2978723404255319,0.12244897959183676,0.6499999999999999,0.2413793103448276,0.19565217391304351,0.23204419889502767,0.2688172043010753,0.5592939878654168
crowdja01,0.2448979591836734,0.2935323383084577,0.16625916870415647,0.4772727272727273,0.4919354838709677,0.34299999999999997,0.12121212121212124,0.13157894736842105,0.5836431226765798,0.16279069767441862,0.3999999999999999,0.34042553191489366,0.21428571428571433,0.5,0.13793103448275865,0.19565217391304351,0.10497237569060774,0.11827956989247312,0.4749034749034753
reddica01,0.26530612244897955,0.3383084577114428,0.12469437652811732,0.3181818181818182,0.34677419354838707,0.332,0.14141414141414144,0.15789473684210528,0.6319702602230483,0.11627906976744183,0.20952380952380953,0.18439716312056742,0.11224489795918369,0.5,0.1724137931034483,0.32608695652173914,0.2541436464088398,0.21505376344086027,0.20740147155241528
augusdj01,0.21428571428571425,0.263681592039801,0.1613691931540342,0.2727272727272727,0.282258064516129,0.348,0.2525252525252525,0.24561403508771928,0.7955390334572491,0.06976744186046512,0.08571428571428572,0.07092198581560284,0.4285714285714286,0.25,0.0,0.2826086956521739,0.21546961325966849,0.18279569892473121,0.20950142689273177
houseda01,0.26530612244897955,0.2885572139303483,0.2298288508557459,0.45454545454545453,0.4516129032258064,0.363,0.09090909090909091,0.08771929824561402,0.6486988847583642,0.18604651162790697,0.2285714285714285,0.21985815602836883,0.09183673469387757,0.5,0.1724137931034483,0.1521739130434783,0.1270718232044199,0.15053763440860218,0.5471042471042475
browntr01,0.2959183673469387,0.3084577114427861,0.2591687041564791,0.20454545454545453,0.20967741935483872,0.341,0.13131313131313135,0.14035087719298245,0.5985130111524165,0.23255813953488375,0.33333333333333337,0.3191489361702128,0.2244897959183674,0.5499999999999999,0.03448275862068966,0.19565217391304351,0.3149171270718232,0.30107526881720437,0.3364502895752899
harriga01,0.28571428571428564,0.3233830845771145,0.21271393643031777,0.29545454545454547,0.30645161290322576,0.33299999999999996,0.10101010101010102,0.10526315789473684,0.6561338289962825,0.09302325581395347,0.14285714285714282,0.12765957446808512,0.17346938775510207,0.6499999999999999,0.10344827586206896,0.19565217391304351,0.26519337016574596,0.24731182795698928,0.30663390663390655
templga01,0.2551020408163265,0.33333333333333337,0.11002444987775051,0.45454545454545453,0.5,0.329,0.08080808080808083,0.08771929824561402,0.637546468401487,0.09302325581395347,0.19999999999999998,0.17021276595744683,0.21428571428571433,0.35000000000000003,0.1724137931034483,0.1739130434782609,0.143646408839779,0.13978494623655918,0.337662337662338
napiesh01,0.23469387755102034,0.263681592039801,0.1931540342298289,0.3181818181818182,0.34677419354838707,0.317,0.20202020202020202,0.2017543859649123,0.6728624535315987,0.09302325581395347,0.14285714285714282,0.12056737588652482,0.43877551020408173,0.5499999999999999,0.06896551724137932,0.45652173913043476,0.1712707182320442,0.18279569892473121,0.44381223328591757
