Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Carmelo Anthony,43.0,38.5,84.5,1.2,5.1,1.5,0.8,0.5,1.7,anthoca01,SF,0.4479166666666667
Serge Ibaka,51.2,38.5,71.8,2.1,6.1,1.4,0.5,0.8,2.0,ibakase01,PF,0.5505617977528091
Kendrick Nunn,43.9,35.0,85.0,0.3,2.4,3.3,0.8,0.2,1.7,nunnke01,PG,0.5128205128205129
JJ Redick,45.3,45.3,89.2,0.2,2.4,2.0,0.3,0.2,1.3,redicjj01,SG,0.4615384615384614
Jordan Clarkson,45.4,36.8,83.6,0.7,1.9,1.9,0.6,0.2,1.4,clarkjo01,SG,0.53125
Bogdan Bogdanovic,44.0,37.2,74.1,0.4,3.0,3.4,1.0,0.2,1.7,bogdabo01,SG,0.5185185185185185
Rudy Gobert,69.3,0.0,63.0,3.4,10.1,1.5,0.8,2.0,1.9,goberru01,C,0.6951219512195123
Will Barton,45.0,37.5,76.7,1.3,5.0,3.7,1.1,0.5,1.5,bartowi01,SG,0.4935064935064935
Alec Burks,41.8,38.5,88.7,0.7,3.5,2.9,0.9,0.3,1.4,burksal01,SG,0.4428571428571429
Eric Bledsoe,47.5,34.4,79.0,0.7,3.9,5.4,0.9,0.4,2.4,bledser01,PG,0.5375
Jonas Valanciunas,58.5,35.2,74.0,3.0,8.2,1.9,0.4,1.1,1.8,valanjo01,C,0.6129032258064517
Lauri Markkanen,42.5,34.4,82.4,1.2,5.1,1.5,0.8,0.5,1.6,markkla01,PF,0.5090909090909089
Terrence Ross,40.3,35.1,85.3,0.2,3.0,1.2,1.1,0.3,1.0,rosste01,SG,0.4599999999999999
Harrison Barnes,46.0,38.1,80.1,1.1,3.9,2.2,0.6,0.2,1.2,barneha02,SF,0.5068493150684932
Joe Harris,48.6,42.4,71.9,0.9,3.4,2.1,0.6,0.2,1.5,harrijo01,SG,0.5454545454545454
Aaron Gordon,43.7,30.8,67.4,1.7,5.9,3.7,0.8,0.6,1.6,gordoaa01,SF,0.4883720930232557
RJ Barrett,40.2,32.0,61.4,0.9,4.1,2.6,1.0,0.3,2.2,barrerj01,SG,0.431578947368421
Eric Paschall,49.7,28.7,77.4,1.4,3.2,2.1,0.5,0.2,1.6,pascher01,PF,0.5529411764705883
Josh Richardson,43.0,34.1,80.9,0.7,2.4,2.9,0.9,0.7,1.9,richajo01,SG,0.5
Tyler Herro,42.8,38.9,87.0,0.3,3.8,2.2,0.6,0.2,1.6,herroty01,SG,0.459016393442623
Duncan Robinson,47.0,44.6,93.1,0.1,3.0,1.4,0.5,0.3,1.0,robindu01,SG,0.6363636363636367
Coby White,39.4,35.4,79.1,0.4,3.1,2.7,0.8,0.1,1.7,whiteco01,PG,0.4375
Christian Wood,56.7,38.6,74.4,1.7,4.6,1.0,0.5,0.9,1.4,woodch01,PF,0.6271186440677966
Ricky Rubio,41.5,36.1,86.3,0.7,4.0,8.8,1.4,0.2,2.7,rubiori01,PG,0.4383561643835617
Miles Bridges,42.4,33.0,80.9,1.4,4.2,1.8,0.6,0.7,1.5,bridgmi02,SF,0.4857142857142857
Marcus Smart,37.5,34.7,83.6,0.7,3.1,4.9,1.7,0.5,1.7,smartma01,SG,0.4166666666666666
Kyle Kuzma,43.6,31.6,73.5,0.9,3.6,1.3,0.5,0.4,1.5,kuzmaky01,PF,0.5230769230769231
Damion Lee,41.7,35.6,87.3,0.7,4.2,2.7,1.0,0.1,1.4,leeda03,SG,0.4727272727272726
Robert Covington,42.2,33.5,79.8,0.9,5.7,1.3,1.6,1.3,1.5,covinro01,SF,0.6176470588235295
Seth Curry,49.5,45.2,82.5,0.4,1.8,1.9,0.6,0.1,1.0,curryse01,SG,0.5250000000000001
De'Andre Hunter,41.0,35.5,76.4,0.7,3.8,1.8,0.7,0.3,1.6,huntede01,SF,0.4499999999999999
Darius Garland,40.1,35.5,87.5,0.5,1.4,3.9,0.7,0.1,2.6,garlada01,SG,0.4264705882352941
P.J. Washington,45.5,37.4,64.7,1.0,4.4,2.1,0.9,0.8,1.6,washipj01,PF,0.5
Kevin Huerter,41.3,38.0,82.8,0.6,3.4,3.8,0.9,0.5,1.6,huertke01,SG,0.4489795918367347
Markelle Fultz,46.5,26.7,73.0,0.6,2.7,5.1,1.3,0.2,2.0,fultzma01,SG,0.5113636363636365
Myles Turner,45.7,34.4,75.1,1.4,5.2,1.2,0.7,2.1,1.4,turnemy01,C,0.5272727272727272
